"actid"	"subid"	"timeBodyAccelerometermagnitude-mean"	"timeGravityAccelerometermagnitude-mean"	"timeBodyAccelerometerJerkmagnitude-mean"	"timeBodygyroscopemagnitude-mean"	"timeBodygyroscopeJerkmagnitude-mean"	"frequencyBodyAccelerometermagnitude-mean"	"frequencybodyAccelerometerJerkmagnitude-mean"	"frequencybodygyroscopemagnitude-mean"	"frequencybodygyroscopeJerkmagnitude-mean"	"acttype"
1	7	-0.09188078	-0.09188078	-0.22127046	-0.23188636	-0.35258183	-0.22416098	-0.10808845	-0.35559498	-0.29350547	"WALKING"
1	5	-0.060402377	-0.060402377	-0.17724473	-0.2910629	-0.34617	-0.19558602	-0.16253574	-0.41419687	-0.50854872	"WALKING"
1	6	-0.17864884	-0.17864884	-0.15420246	-0.23214497	-0.18464348	-0.21293465	-0.095773599	-0.1490698	-0.23541469	"WALKING"
1	23	-0.16544768	-0.16544768	-0.16495084	-0.093372621	-0.086230814	-0.13485168	-0.075290045	0.20182032	0.061487608	"WALKING"
1	7	-0.050800892	-0.050800892	-0.16701481	-0.31105774	-0.34247773	-0.16762305	-0.081012584	-0.2549877	-0.29446303	"WALKING"
1	7	-0.20943372	-0.20943372	-0.39067904	-0.17464051	-0.4748633	-0.38032055	-0.29646073	-0.35222587	-0.27006915	"WALKING"
1	11	-0.25298179	-0.25298179	-0.30474363	-0.40374617	-0.58583373	-0.35118903	-0.21715941	-0.55313178	-0.69767288	"WALKING"
1	6	-0.17258258	-0.17258258	-0.24973126	-0.24913799	-0.22595848	-0.29631571	-0.1647283	-0.28360058	-0.33002687	"WALKING"
1	10	-0.18506772	-0.18506772	-0.20942205	-0.15132118	-0.4541831	-0.14063105	-0.03785345	-0.34258953	-0.49660481	"WALKING"
1	11	-0.2218495	-0.2218495	-0.32382463	-0.39574292	-0.59853066	-0.47624259	-0.37878419	-0.58896754	-0.74866799	"WALKING"
1	21	-0.18273361	-0.18273361	-0.20610212	-0.31554011	-0.46317915	-0.33593079	-0.26043254	-0.44170579	-0.50903933	"WALKING"
1	3	-0.29071646	-0.29071646	-0.31595048	-0.48391498	-0.60356586	-0.3326305	-0.25646944	-0.63300639	-0.71226324	"WALKING"
1	6	-0.13839638	-0.13839638	-0.14987006	-0.27558164	-0.24970583	-0.19289233	-0.053119501	-0.26147356	-0.25852234	"WALKING"
1	3	-0.25597065	-0.25597065	-0.24997547	-0.48954181	-0.55964247	-0.30418332	-0.2444113	-0.59107968	-0.63518559	"WALKING"
1	6	-0.10973489	-0.10973489	-0.12494433	-0.22826572	-0.14433917	-0.13713877	-0.035605883	-0.24165647	-0.22435425	"WALKING"
1	6	-0.12556036	-0.12556036	-0.13593918	-0.25081142	-0.16313337	-0.068299134	-0.043481498	-0.23057848	-0.1572373	"WALKING"
1	11	-0.20999415	-0.20999415	-0.32400348	-0.4413403	-0.6154661	-0.42203094	-0.29108969	-0.61346665	-0.71370176	"WALKING"
1	6	-0.085582696	-0.085582696	-0.071586263	-0.20367011	-0.16429788	-0.18202472	-0.093770484	-0.26996208	-0.27614603	"WALKING"
1	11	-0.22295884	-0.22295884	-0.30907371	-0.440259	-0.60647209	-0.45569904	-0.330326	-0.62276086	-0.74019387	"WALKING"
1	30	-0.27510528	-0.27510528	-0.45506467	-0.076404731	-0.53097724	-0.39732068	-0.46534815	-0.42577215	-0.55943018	"WALKING"
1	6	-0.10479033	-0.10479033	-0.091979779	-0.11719667	-0.11014357	-0.15951159	0.0018165373	-0.091367838	-0.21837077	"WALKING"
1	21	-0.11720883	-0.11720883	-0.12560117	-0.30020568	-0.45096498	-0.17000434	-0.13663382	-0.40585902	-0.50514479	"WALKING"
1	3	-0.28042487	-0.28042487	-0.31017264	-0.51796674	-0.59641223	-0.34026553	-0.25617643	-0.57670971	-0.63934719	"WALKING"
1	30	-0.23878178	-0.23878178	-0.41818662	-0.10518657	-0.52591512	-0.37202434	-0.37473236	-0.4166059	-0.58906937	"WALKING"
1	3	-0.20043562	-0.20043562	-0.17806101	-0.43069434	-0.48203927	-0.29550393	-0.17022696	-0.53183035	-0.52723189	"WALKING"
1	23	-0.091717988	-0.091717988	-0.067164997	0.017956787	0.13475806	-0.089206589	-0.025170507	0.38052385	0.34062513	"WALKING"
1	14	-0.093471128	-0.093471128	-0.31601061	-0.086900081	-0.47140373	-0.23838812	-0.33957479	-0.22023178	-0.56329252	"WALKING"
1	30	-0.23995889	-0.23995889	-0.42178464	-0.11338345	-0.52162218	-0.38168091	-0.38901417	-0.40494352	-0.59008763	"WALKING"
1	11	-0.24175897	-0.24175897	-0.32157019	-0.45494935	-0.61771733	-0.44696611	-0.30137611	-0.59785554	-0.72637089	"WALKING"
1	11	-0.20995417	-0.20995417	-0.28396365	-0.39642583	-0.57782712	-0.37588363	-0.21422782	-0.54651352	-0.69533732	"WALKING"
1	5	-0.054798656	-0.054798656	-0.18384659	-0.2587544	-0.38479834	-0.24275256	-0.20979082	-0.44250188	-0.47317548	"WALKING"
1	21	-0.21526595	-0.21526595	-0.21849174	-0.34276894	-0.45265349	-0.29007306	-0.22864436	-0.43374277	-0.48546841	"WALKING"
1	26	-0.029121035	-0.029121035	-0.22567056	-0.32378994	-0.50562188	-0.31620705	-0.24242854	-0.54816478	-0.60010855	"WALKING"
1	6	-0.17288132	-0.17288132	-0.11064987	-0.22392078	-0.15347286	-0.014325186	-0.05751796	-0.11802107	-0.15360749	"WALKING"
1	26	-0.33990398	-0.33990398	-0.39993863	-0.46218281	-0.52846979	-0.4436651	-0.40394272	-0.59845615	-0.67435956	"WALKING"
1	6	-0.15775836	-0.15775836	-0.1968147	-0.29599644	-0.26096357	-0.22536556	-0.0962825	-0.21569699	-0.2427901	"WALKING"
1	3	-0.23192537	-0.23192537	-0.20159212	-0.46937622	-0.55559141	-0.15911212	-0.10755194	-0.58825345	-0.66457199	"WALKING"
1	30	-0.20371249	-0.20371249	-0.38767243	-0.11082601	-0.51338956	-0.35286331	-0.36105634	-0.4128517	-0.55825453	"WALKING"
1	3	-0.22784657	-0.22784657	-0.19481	-0.40087495	-0.49986511	-0.32097127	-0.21952251	-0.57733469	-0.60480285	"WALKING"
1	3	-0.29481277	-0.29481277	-0.29405279	-0.47126934	-0.58213129	-0.30904958	-0.20639557	-0.60833852	-0.62812892	"WALKING"
1	5	-0.054564189	-0.054564189	-0.2274879	-0.32488646	-0.33884854	-0.20469554	-0.24387413	-0.43742535	-0.4496756	"WALKING"
1	14	-0.12913781	-0.12913781	-0.35991992	-0.053506995	-0.46737811	-0.32307282	-0.40414777	-0.21056381	-0.57062689	"WALKING"
1	3	-0.30213445	-0.30213445	-0.30338161	-0.48922888	-0.59389345	-0.33362179	-0.27446999	-0.57933118	-0.64023541	"WALKING"
